id;name;delegation_id
1;Agareb;9
2;Es-Soghar;9
3;Ettorba;9
4;Zeliana;9
5;El Mahrouka;9
6;Bouledhieb;9
7;Ben Sahloun;9
8;Gargour;9
9;La Marsa Plage;30
10;La Marsa El Montazeh;30
11;Sidi Daoued;30
12;El Bahr El Azrak;30
13;La Marsa Hadayek;30
14;Gammarth;30
15;Er-Rmila;30
16;Gammarth Supérieur;30
17;La Marsa Erriadh;30
18;La Marsa Medina;30
19;Le Kram Est;28
20;Erriadh;28
21;Bir El Helou;28
22;Le Kram Ouest;28
23;Sidi Amor;28
24;Sidi Fredj;28
25;El Bouhaira;28
26;Jemna Sud;59
27;Jemna Nord;59
28;El Matrouha;55
29;‫‪Rejim‬‬ ‫‪Mâatoug‬‬;55
30;El Gattaya;60
31;El Blidete;59
32;Jersine;59
33;Bchelli;59
34;Ben Mehemed;59
35;Béchri;58
36;Fatnassa;58
37;Negga;58
38;Sidi Amor;257
39;Manouba Centre;257
40;Den-Den Sud;257
41;Den-Den;257
42;‫‪Manouba‬‬;257
43;Cité Er-Riadh;258
44;Cité Ech-Chabeb;258
45;Cité Ennassim;258
46;Khaled Ibn El Oualid;258
47;Douar Hicher;258
48;‫‪Ennajet‬‬;259
49;Gharib;55
50;Sabria Ouest;55
51;Sabria Est;55
52;‫‪Gueïdma‬‬;55
53;‫‪Bichni‬‬‬ ‫‪Edarjin‬‬;55
54;El Haouaira Nord;88
55;Er Riadh;259
56;Es Saida;259
57;El Kobbâa;259
58;‫‪Cité‬‬ ‫‪El‬‬ ‫‪Ouerd‬‬;259
59;Sanhaja;259
60;Oued Ellil;259
61;El Haouaira Sud;88
62;Ksar-Said;257
63;Saheb El Jebel Sud;88
64;Saheb El Jebel Nord;88
65;Dar Allouch;80
66;Hart Ech Choara;80
67;Hammam El Ghezaz;80
68;Ouezdra;80
69;Chaouat;260
70;Bou Krim;88
71;Tazaghrane Ouest;88
72;Zaouiet El Mgaiez;88
73;Tazaghrane Est;88
74;Djedaïda Hached;260
75;Djedaïda;260
76;Ez-Zahra;260
77;El Habibia;260
78;El Mansoura;260
79;Kelibia Ouest;81
80;Kelibia Est;81
81;Melloul;81
82;Azmour;81
83;Tebourba;261
84;Er-Raja;261
85;Banlieue de Tebourba;261
86;Ech-Chouigui;261
87;El Mellaha;261
88;El Ansarine;261
89;Edkhila;261
90;Beni Abdelaziz;83
91;Skalba;83
92;Ali Belhaouen;83
93;Taieb Mhiri;83
94;Erâinine;83
95;Takelsa Nord;79
96;Oued Laâbid;79
97;Bir Ezzit;79
98;Takelsa Centre;79
99;El Arima;79
100;El Ouediane;83
101;El Asfour;83
102;Menzel Hor;83
103;Lezdine;83
104;El Mida;82
105;Lebna;82
106;Korchine;82
107;Om Dhouil;82
108;Fartouna;82
109;El Mraissa;78
110;Soliman;78
111;Soliman Sud;78
112;Borj Ettoumi;262
113;Menzel Bouzelfa Sud;103
114;Errahma;103
115;Damous El Hajja;103
116;Menzel Bouzelfa Nord;103
117;Menzel Bouzelfa Ouest;103
118;El Battane;262
119;El Aroussia;262
120;Mehrine;262
121;El Bassatine;264
122;El Fajja;264
123;Sidi Ali El Hattab;264
124;El Moussadine;263
125;Borj El Amri;263
126;Borj Ennour;263
127;Menzel Habib;263
128;20-mars;264
129;Mornaguia Nord;264
130;Mornaguia;264
131;Bouragba;264
132;Hmaïema;264
133;Bou Lidine;84
134;Ben Ayech;84
135;Boujrida;84
136;Garaet Sassi;84
137;Diar El Hojjaj;84
138;Korba Est;84
139;Korba Ouest;84
140;Bou Charray;78
141;Ech Cherifet;78
142;Bir Drassen;102
143;Beni Khalled Est;102
144;Beni Khalled Sud;102
145;Beni Khalled Nord;102
146;El Maamoura;85
147;Diar Ben Salem;85
148;Tazarka;84
149;Beni Khiar;85
150;Somaa;85
151;Halfa;85
152;Hedi Chaker;87
153;Ennour;87
154;Bir Challouf;87
155;Neapolis;87
156;Al Hadaek;87
157;El Asouak;87
158;Amroun;86
159;Dar Chaabane;86
160;El Fehri;86
161;El Frinine;86
162;Zaouiet Jdidi;102
163;Kobba Lekbira;102
164;Borj Hfaed;100
165;Bou Argoub Sud;100
166;El Machrouha;100
167;Bou Argoub Nord;100
168;Sidi Dhaher;100
169;Belli;100
170;El Kharrouba;100
171;Grombalia Ouest;101
172;Grombalia Est;101
173;Turki;101
174;Nianou;101
175;Bir Bouregba;99
176;Hammamet Nord;99
177;El Mrezga;99
178;Hammamet Est;99
179;Hammamet Ouest;99
180;Barraket Essahel;99
181;Yasmine Hammamet;99
182;Khannguet el Hadjadj;101
183;Chammes;101
184;Fondouk Jedid;101
185;Ain Tebournok;101
186;Jbal Trif;101
187;Sidi Ejdidi;99
188;Esselloum;128
189;Bouficha;128
190;Oued El Kharroub;128
191;Sidi Khlifa;128
192;Ain Errahma;128
193;Essafha;128
194;El Mthalet;128
195;Sidi Said;128
196;Sidi Mtir;128
197;El Frada;129
198;Ain Medhaker;129
199;Takrouna;129
200;Ouled Abdellah;129
201;Menzel Fateh;129
202;Chgarnia;129
203;Enfida;129
204;El Halia 2;182
205;El Helia;182
206;Er-Rbat;182
207;El Medina 2;182
208;El Medina;182
209;Bab El Gharbi;182
210;Skanes;182
211;Sahline Est;180
212;Sahline Ouest;180
213;Môotmar;180
214;Khenis Nord;182
215;Khenis;182
216;Essouayah;130
217;El Aribet;130
218;Hergla;130
219;Grimet Est;129
220;Hicher;129
221;El Garci;129
222;Grimet Ouest;129
223;Mrabet Hached;129
224;Menzel Dar Belwar;129
225;Oued Ameur;127
226;Gmata;127
227;Oued El Abed;127
228;Kondar;127
229;Bir Ejdid;127
230;Bchechna;127
231;Mehadhbia;131
232;Menze El Mahatta;131
233;Ouremma;131
234;El Fokaia;133
235;Chott Mariem;133
236;Ettantana;133
237;Akouda Ouest;133
238;Akouda Est;133
239;Chott Errommane;133
240;Ezzaouaïa‬‬;58
241;El Kantaoui;110
242;Bir Moussa;110
243;El Medina;110
244;El Gharabi;110
245;Sahloul;110
246;‫‪Oum‬‬ ‫‪Essoumâa‬‬;58
247;‫‪Bou‬‬ ‫‪Abdellah‬‬;58
