id;name;governorate_id
1;BEJA NORD;2
2;NEFZA;2
3;GOUBELLAT;2
4;MEJEZ EL BAB;2
5;AMDOUN;2
6;TEBOURSOUK;2
7;TESTOUR;2
8;THIBAR;2
9;BEJA SUD;2
10;MENZEL BOURGUIBA;4
11;UTIQUE;4
12;MENZEL JEMIL;4
13;BIZERTE NORD;4
14;BIZERTE SUD;4
15;EL ALIA;4
16;SEJNANE;4
17;GHAR EL MELH;4
18;GHEZALA;4
19;JARZOUNA;4
20;JOUMINE;4
21;MATEUR;4
22;RAS JEBEL;4
23;TINJA;4
24;EZZAHRA;3
25;MOHAMADIA;3
26;RADES;3
27;EL MOUROUJ;3
28;FOUCHANA;3
29;HAMMAM CHATT;3
30;HAMMAM LIF;3
31;MEGRINE;3
32;NOUVELLE MEDINA;3
33;MORNAG;3
34;BOU MHEL EL BASSATINE;3
35;BEN AROUS;3
36;FERNANA;7
37;GHARDIMAOU;7
38;TABARKA;7
39;JENDOUBA;7
40;JENDOUBA NORD;7
41;AIN DRAHAM;7
42;OUED MLIZ;7
43;BOU SALEM;7
44;BALTA BOU AOUENE;7
45;BELKHIR;6
46;EL GUETTAR;6
47;EL KSAR;6
48;EL MDHILLA;6
49;SNED;6
50;MOULARES;6
51;REDEYEF;6
52;SIDI AICH;6
53;GAFSA SUD;6
54;METLAOUI;6
55;GAFSA NORD;6
56;EL METOUIA;5
57;GABES MEDINA;5
58;GABES OUEST;5
59;GABES SUD;5
60;EL HAMMA;5
61;NOUVELLE MATMATA;5
62;MARETH;5
63;GHANNOUCHE;5
64;MATMATA;5
65;MENZEL HABIB;5
66;SBIKHA;8
67;KAIROUAN SUD;8
68;OUESLATIA;8
69;NASRALLAH;8
70;KAIROUAN NORD;8
71;EL ALA;8
72;HAJEB EL AYOUN;8
73;CHEBIKA;8
74;HAFFOUZ;8
75;CHERARDA;8
76;BOU HAJLA;8
77;SOUK EL AHAD;10
78;KEBILI SUD;10
79;KEBILI NORD;10
80;DOUZ;10
81;EL FAOUAR;10
82;HAIDRA;9
83;SBEITLA;9
84;MEJEL BEL ABBES;9
85;KASSERINE NORD;9
86;EL AYOUN;9
87;EZZOUHOUR;9
88;FERIANA;9
89;FOUSSANA;9
90;HASSI EL FRID;9
91;JEDILIANE;9
92;KASSERINE SUD;9
93;SBIBA;9
94;THALA;9
95;TAJEROUINE;11
96;TOUIREF;11
97;NEBEUR;11
98;SAKIET SIDI YOUSSEF;11
99;LE SERS;11
100;EL KSOUR;11
101;LE KEF EST;11
102;DAHMANI;11
103;KALAAT SINANE;11
104;JERISSA;11
105;KALAA EL KHASBA;11
106;LE KEF OUEST;11
107;MELLOULECH;12
108;SIDI ALOUENE;12
109;MAHDIA;12
110;SOUASSI;12
111;OULED CHAMAKH;12
112;BOU MERDES;12
113;CHORBANE;12
114;KSOUR ESSAF;12
115;HBIRA;12
116;LA CHEBBA;12
117;EL JEM;12
118;BORJ EL AMRI;13
119;JEDAIDA;13
120;OUED ELLIL;13
121;TEBOURBA;13
122;EL BATTAN;13
123;MANNOUBA;13
124;MORNAGUIA;13
125;DOUAR HICHER;13
126;KORBA;16
127;SOLIMAN;16
128;TAKELSA;16
129;MENZEL BOUZELFA;16
130;MENZEL TEMIME;16
131;NABEUL;16
132;BENI KHIAR;16
133;BENI KHALLED;16
134;HAMMAMET;16
135;EL HAOUARIA;16
136;KELIBIA;16
137;GROMBALIA;16
138;EL MIDA;16
139;BOU ARGOUB;16
140;DAR CHAABANE ELFEHRI;16
141;HAMMAM EL GHEZAZ;16
142;EL HENCHA;17
143;ESSKHIRA;17
144;GHRAIBA;17
145;EL AMRA;17
146;BIR ALI BEN KHELIFA;17
147;AGAREB;17
148;SFAX VILLE;17
149;SAKIET EDDAIER;17
150;MAHRAS;17
151;MENZEL CHAKER;17
152;SFAX EST;17
153;SFAX SUD;17
154;JEBENIANA;17
155;KERKENAH;17
156;SAKIET EZZIT;17
157;HOUMET ESSOUK;14
158;MEDENINE SUD;14
159;BENI KHEDACHE;14
160;SIDI MAKHLOUF;14
161;MIDOUN;14
162;ZARZIS;14
163;MEDENINE NORD;14
164;BEN GUERDANE;14
165;AJIM;14
166;BEN OUN;18
167;BIR EL HAFFEY;18
168;JILMA;18
169;CEBBALA;18
170;OULED HAFFOUZ;18
171;MEZZOUNA;18
172;REGUEB;18
173;SIDI BOUZID OUEST;18
174;SOUK JEDID;18
175;SIDI BOUZID EST;18
176;MAKNASSY;18
177;MENZEL BOUZAIENE;18
178;SILIANA SUD;19
179;SIDI BOU ROUIS;19
180;SILIANA NORD;19
181;GAAFOUR;19
182;KESRA;19
183;LE KRIB;19
184;BOU ARADA;19
185;BARGOU;19
186;MAKTHAR;19
187;ROHIA;19
188;EL AROUSSA;19
189;SAYADA LAMTA BOU HAJAR;15
190;KSIBET EL MEDIOUNI;15
191;KSAR HELAL;15
192;JEMMAL;15
193;SAHLINE;15
194;MONASTIR;15
195;MOKNINE;15
196;OUERDANINE;15
197;TEBOULBA;15
198;ZERAMDINE;15
199;BEKALTA;15
200;BEMBLA;15
201;BENI HASSEN;15
202;TATAOUINE SUD;21
203;BIR LAHMAR;21
204;DHEHIBA;21
205;GHOMRASSEN;21
206;TATAOUINE NORD;21
207;REMADA;21
208;SMAR;21
209;ENNADHOUR;24
210;EL FAHS;24
211;BIR MCHERGA;24
212;ZAGHOUAN;24
213;HAMMAM ZRIBA;24
214;SAOUEF;24
215;EL MENZAH;23
216;EL HRAIRIA;23
217;EL KABBARIA;23
218;EL KRAM;23
219;BAB SOUIKA;23
220;CARTHAGE;23
221;CITE EL KHADRA;23
222;BAB BHAR;23
223;LA MARSA;23
224;EZZOUHOUR;23
225;JEBEL JELLOUD;23
226;SIDI EL BECHIR;23
227;LA GOULETTE;23
228;LE BARDO;23
229;EL OMRANE;23
230;EL OMRANE SUPERIEUR;23
231;EL OUERDIA;23
232;ETTAHRIR;23
233;SIDI HASSINE;23
234;ESSIJOUMI;23
235;LA MEDINA;23
236;RAOUED;1
237;SIDI THABET;1
238;ARIANA VILLE;1
239;LA SOUKRA;1
240;KALAAT LANDLOUS;1
241;ETTADHAMEN;1
242;MNIHLA;1
243;DEGUECHE;22
244;TOZEUR;22
245;HEZOUA;22
246;NEFTA;22
247;TAMEGHZA;22
248;SIDI BOU ALI;20
249;SIDI EL HENI;20
250;SOUSSE JAOUHARA;20
251;SOUSSE RIADH;20
252;SOUSSE VILLE;20
253;BOU FICHA;20
254;AKOUDA;20
255;HAMMAM SOUSSE;20
256;KALAA ESSGHIRA;20
257;KONDAR;20
258;MSAKEN;20
259;ENFIDHA;20
260;HERGLA;20
261;KALAA EL KEBIRA;20
262;SOUSSE;20
