id;name;postal_code;delegation_id
1;CITE DE LA SANTE 1;9000;1
2;CITE DE LA SANTE 2;9000;1
3;CITE DES MIMOSAS;9000;1
4;CITE DES PROFFESSEURS;9000;1
5;CITE SIDI FREJ;9000;1
6;CITE SALAMBO;9000;1
7;CITE TAIEB MHIRI;9000;1
8;CITE SNIT;9000;1
9;CITE USINE DU SUCRE1;9000;1
10;CITE USINE DU SUCRE2;9000;1
11;EL HAMROUNIA;9000;1
12;EL YOUSRI;9000;1
13;EL MOUNCHAR;9000;1
14;FATNASSA;9000;1
15;HAJAR AMOR;9000;1
16;KASSEB;9000;1
17;CITE CNRPS;9000;1
18;CITE DE LA POLICE;9000;1
19;EL MZARA;9031;1
20;LAFARKE;9000;1
21;CITE BOUTRAA;9000;1
22;AIN KSAR HADID;9000;1
23;BEJA;9000;1
24;BOU KESLANE;9000;1
25;CHARCHARA;9000;1
26;CITE AFH;9000;1
27;NAGACHIA;9000;1
28;CITE AIN BAZAZ;9000;1
29;CITE AIN CHEMES;9000;1
30;TARHOUNI;9000;1
31;CITE PONT TRAGEON;9000;1
32;CITE KSAR BARDO;9000;1
33;CITE S.R.TRANSPORT;9000;1
34;CITE AIN EL GHOULA;9000;1
35;CITE DES ROSES;9000;1
36;CITE DHAMENE;9000;1
37;CITE DU GOUVERNORAT;9000;1
38;CITE ECHIFA;9000;1
39;CITE SALAH EL MAGHRAOUI;9000;1
40;CITE ECONOMIE DU NORD;9000;1
41;CITE EDHAHBIA 1;9000;1
42;CITE EDHAHBIA 2;9000;1
43;CITE EL BARAKA;9000;1
44;CITE EL BIADHA;9000;1
45;CITE EL BOUKHARI;9000;1
46;CITE EL BOUSTENE;9000;1
47;CITE EL HABIB;9000;1
48;CITE EL HABIBIA;9000;1
49;CITE EL HAOUARI;9000;1
50;CITE EL KHADHRA;9000;1
51;CITE EL KHADHRA SUPERIEUR;9000;1
52;CITE EL MANAR 1;9000;1
53;CITE EL MANAR 2;9000;1
54;CITE EL MANAR 3;9000;1
55;CITE EL MANAR 4;9000;1
56;CITE EL MEKMDA;9000;1
57;CITE EL MANAR 5;9000;1
58;CITE EL MHELLA;9000;1
59;CITE EL MOUSTAKBEL;9000;1
60;CITE EL MZARA;9000;1
61;CITE EL OLFA;9000;1
62;CITE ENNOUZHA;9000;1
63;CITE ERRIADH 2;9000;1
64;CITE ERRIADHI 1;9000;1
65;CITE ESSALAMA;9000;1
66;CITE ESSALEM;9000;1
67;CITE ESSANAOUBER;9000;1
68;CITE GARDE NATIONALE;9000;1
69;CITE EZZOUHOUR;9000;1
70;CITE IBN KHALDOUN;9000;1
71;CITE JARDINS;9000;1
72;CITE JEBEL EL AKHDHAR;9000;1
73;CITE BEJA EL JADIDA;9000;1
74;CITE BELLE VUE;9000;1
75;CITE BIR HOFRA;9000;1
76;EL AYAYADA JAMILA;9010;2
77;JBEL DISS;9010;2
78;JEMIL;9010;2
79;NEFZA;9010;2
80;OUED BOUZENNA;9010;2
81;OUED DAMOUS;9010;2
82;OULED HOUIMEL;9010;2
83;OUM LAABID;9010;2
84;OULED KACEM;9010;2
85;TABABA;9011;2
86;AIN ZAKKAR;9012;2
87;BOU GARNOUNA;9012;2
88;EL HEMAIDIA;9012;2
89;EL MECHERGA;9012;2
90;EL OULIJA;9012;2
91;ETTAREF;9012;2
92;EZZOUARAA;9012;2
93;OUECHTATA;9012;2
94;OULED SALEM;9012;2
95;ZAGA;9012;2
96;EL MAZDOUR;9010;2
97;CITE MIXTE;9010;2
98;FATNASSA;9010;2
99;BENI SAID;9010;2
100;CITE MOHSEN LIMAM;9010;2
101;CITE DE LA LIBERTE;9010;2
102;CITE DE LA POSTE;9010;2
103;CITE RIM;9010;2
104;CITE SIDI SAAD;9010;2
105;CITE DES CARRIERES;9010;2
106;CITE DES ROSES;9010;2
107;DAR EL HIT;9010;2
108;EL AMAMRIA;9010;2
109;CITE EL MHIRI;9010;2
110;CITE ERRIADH;9010;2
111;CITE ESSAADA;9010;2
112;CITE EZZOUHOUR;9010;2
113;CITE INDEPENDANCE;9010;2
114;CITE DE LA POSTE;9013;4
115;CITE EDUCATION;9013;4
116;CITE ENFANCE;9013;4
117;LOUATIA;9013;4
118;OUED EZZITOUN;9013;4
119;OUED ZARGA;9013;4
120;EL KSAR;9015;4
121;TOUKABEUR;9024;4
122;SIDI MEDIENE;9034;4
123;CITE BACCAR;9070;4
124;ARGOUB EZZAATAR;9070;4
125;SIDI NASSER;9044;4
126;CITE DE LA SANTE;9070;4
127;CITE DES PROFFESSEURS;9070;4
128;CITE DU GOUVERNORAT;9070;4
129;CITE EL AZIMA 1;9070;4
130;CITE EL AZIMA 3;9070;4
131;CITE EL AZIMA 2;9070;4
132;CITE EL BAHRINE;9070;4
133;CITE DHAMENE;9070;4
134;CITE EL BEHI;9070;4
135;CITE EL FATEH;9070;4
136;CITE EL FERDAOUS 1;9070;4
137;CITE EL MANAR;9070;4
138;CITE EL HANA;9070;4
139;CITE EL MENCHARI;9070;4
140;CITE ERRIADH;9070;4
141;CITE MAJERDA;9070;4
142;CITE ESSEDK;9070;4
143;GUERICHE EL OUED;9070;4
144;HIDOUS;9070;4
145;SIDI AHMED JEDIDI;9070;4
146;MEJEZ EL BAB;9070;4
147;IDEN;9070;4
148;CITE 02 MARS;9071;4
149;EL GRIAAT;9071;4
150;CITE ETTADHAMEN;9070;4
151;CHAOUECH;9072;4
152;EL HERRI;9075;4
153;CITE JALLAZIA;9070;4
154;CHEIK EL OUEDIANE EL GUEBLI;9080;3
155;CITE EZZOUHOUR;9070;4
156;CITE DES FONCTIONNAIRES;9080;3
157;CITE EL HANA;9080;3
158;CITE EL IZDIHAR;9080;3
159;BRIOUIG;9080;3
160;CITE EL KAMH;9080;3
161;CITE ESSAADA;9080;3
162;CITE ESSANABEL;9080;3
163;CITE POPULAIRE;9080;3
164;CITE EZZOUHOUR;9080;3
165;EL FEDHAILIA;9080;3
166;EL GAMMARTI;9080;3
167;DOUR ISMAIL;9080;3
168;EL OGLA;9080;3
169;GOUBELLAT;9080;3
170;ETTRAIFA;9080;3
171;KHACHEB;9080;3
172;KHENGUET EDDIHENNE;9080;3
173;TELLA;9080;3
174;ZONE INDUSTRIELLE;9080;3
175;GRAME;9083;3
176;CITE EL HADJ ABDALLAH;9040;6
177;AIN EL HAMMAM;9040;6
178;BIR EL EUCH;9080;3
179;CITE EL GOURJANI;9040;6
180;CITE EL KSAR;9040;6
181;CITE ENNACIM;9040;6
182;CITE ENNACIM 1;9040;6
183;CITE EZZAYATINE 1;9040;6
184;CITE EZZAYATINE 2;9040;6
185;CITE IBN KHALDOUN;9040;6
186;CITE IBN SINA;9040;6
187;CITE INDUSTRIELLE;9040;6
188;CITE JARDINS;9040;6
189;KHALLED;9032;6
190;CITE MESKA;9040;6
191;CITE OUED ESSAH;9040;6
192;CITE SIDI BAGGA;9040;6
193;DOUGGA ROUINES;9040;6
194;EL AYEDH;9040;6
195;EL FAOUAR;9040;6
196;EL MATRIA;9040;6
197;NAFFET;9040;6
198;OULED MARAI;9040;6
199;CITE ENNACIM 2;9040;6
200;RIHANA;9040;6
201;TEBOURSOUK;9040;6
202;FADDEN ESSOUK;9046;6
203;AIN EL MELLITI;9040;6
204;AIN EL KEHOUL;9040;6
205;AIN JEMMALA;9040;6
206;BOUZAIDA;9040;6
207;BIR ETTOUTA;9040;6
208;CITE AIN EL KARMA;9040;6
209;CITE AIN MRAD;9040;6
210;CITE DE LA REPUBLIQUE;9040;6
211;CITE DU STADE;9040;6
212;CITE EL BASSATINE;9040;6
213;CITE DES MARTYRS;9040;6
214;CITE EL GLAI;9040;6
215;DOUGA;9032;6
216;BORJ BRAHIM;9032;6
217;BENI MELEK;9030;5
218;BOURIS;9030;5
219;CITE DE LA POSTE;9030;5
220;CITE ERRAOUDHA;9030;5
221;CITE HACHED;9030;5
222;CITE TAIEB MHIRI;9030;5
223;ADAILIA;9030;5
224;AIN EL GOUSSA;9030;5
225;AIN GHENEM;9030;5
226;EDDGHABJIA;9030;5
227;EDHHIRAT;9030;5
228;EL FRAIJIA;9030;5
229;EL GHORFA;9030;5
230;EL GRAIA;9030;5
231;EL JOUZA;9030;5
232;EL HLIKAT;9030;5
233;EL MJALES;9030;5
234;GAAT EL MOUHDI;9030;5
235;GHOUZIA;9030;5
236;MAGHRAOUA;9030;5
237;MENZEL HAMMED;9030;5
238;REMADHNIA;9030;5
239;SIDI MBAREK;9030;5
240;SIDI SAADOUN;9030;5
241;SOBAH;9030;5
242;ZAHRET MEDIENE;9030;5
243;EL AYAYDA;9084;5
244;EL HOMR;9084;5
245;MENZEL EL GOURCHI;9084;5
246;CITE SIDI KHOUILI;9014;7
247;CITE EL GADHOUM;9014;7
248;EL MELLAH;9014;7
249;ESSLOUGUIA;9014;7
250;JEBEL FELLOUS;9014;7
251;OULJET DOUKHANE;9014;7
252;AIN YOUNES;9060;7
253;CITE 20 MARS;9060;7
254;CITE EL IZDIHAR;9060;7
255;CITE 26 FEVRIER;9060;7
256;CITE EL FOLLA;9060;7
257;CITE DES ANDALOUS;9060;7
258;CITE KICHTILOU;9014;7
259;CITE DAR ECHABEB;9014;7
260;CITE ERRAOUDHA;9014;7
261;CITE BAHRNIA;9014;7
262;CITE BEHARNIA;9014;7
263;CITE BEN KAROUIA;9014;7
264;CITE BEN OTHMAN;9014;7
265;BAB BLED;9014;7
266;CITE EL MALOUF;9060;7
267;CITE EL BASSATINE;9060;7
268;CITE TIJANI;9014;7
269;CITE ENNACIM;9060;7
270;CITE FEDDEN JEMAA;9014;7
271;CITE OULED SLIMANE;9014;7
272;CITE ESSAYADINE;9014;7
273;CITE GHARNATA 1;9060;7
274;CITE GHARNATA 2;9060;7
275;CITE IBN ZEIDOUN;9060;7
276;CITE SPINIAIR;9060;7
277;EL GLAA;9060;7
278;JLASS BOU ISSA;9060;7
279;MEZOUGHA;9060;7
280;OUED JEDRA;9060;7
281;OULED SLAMA;9060;7
282;RHIBA;9060;7
283;TESTOUR;9060;7
284;ESSKHIRA;9061;7
285;ZELDOU;9060;7
286;HENCHIR BOU SOFRA;9061;7
287;CITE EL MENDRA;9014;7
288;AIN TOUNGA;9062;7
