id;name;requires_approval;default_phone;creation_date
1;Intelligent Cotton Gloves frame deposit;true;Buckinghamshire;2020-04-05
2;payment Ergonomic;true;Kids;2020-04-04
3;Small;true;wireless Soft;2020-04-04
4;French Polynesia e-business;true;overriding Sri Lanka Rupee;2020-04-04
5;Open-source Implementation Glens;true;emulation paradigms;2020-04-04
6;Utah web-readiness Avon;false;bypassing;2020-04-04
7;revolutionize grey Peso Uruguayo Uruguay Peso en Unidades Indexadas;true;Money Market Account CFP Franc;2020-04-05
8;Sierra Leone intermediate;false;Self-enabling;2020-04-04
9;Multi-lateral;true;green Compatible;2020-04-04
10;Russian Federation Dynamic architect;false;incubate;2020-04-04
